comments,review_comments,commits,additions,deletions,changed_files,body_length,has_security_terms,has_financial_terms,pr_commits,pr_lines_added,pr_lines_removed,pr_files_changed,pr_complexity_changes,test_files_changed,config_files_changed,py_files,java_files,js_files,md_files,touches_security,touches_financial,merge_time_hours,created_year,created_month,created_weekday,created_hour,is_weekend,is_business_hours,time_to_close_hours,pr_age_days,total_lines_changed,lines_per_file,net_lines,add_delete_ratio,relative_pr_size,complexity_per_line,total_comments,comments_per_line,comments_per_file,comments_per_commit,has_intense_discussion,title_length,title_word_count,title_has_feature,title_has_fix,title_has_refactor,body_code_ratio,py_files_ratio,java_files_ratio,js_files_ratio,md_files_ratio,file_type_diversity,has_security_files,has_financial_files,test_file_ratio,config_file_ratio,is_focused_pr,risk_score_raw,risk_score_norm,risk_reason_count,has_risk_reason_many_files,has_risk_reason_touches_financial,has_risk_reason_touches_security,has_risk_reason_many_comments,has_risk_reason_title_financial,has_risk_reason_title_security,repo_binance/binance-connector-python,repo_ccxt/ccxt,repo_enigmampc/catalyst,repo_freqtrade/freqtrade,repo_quantopian/zipline,repo_stripe/stripe-python,repo_ta4j/ta4j,author_top_2pd,author_top_Dan-krm,author_top_TheCookieLab,author_top_anniel-stripe,author_top_caoilainnl,author_top_carlosmiei,author_top_dependabot,author_top_francescopeloi,author_top_helenye-stripe,author_top_jar-stripe,author_top_nimo23,author_top_other,author_top_pakrym-stripe,author_top_pcriadoperez,author_top_prathmesh-stripe,author_top_ramya-stripe,author_top_richardm-stripe,author_top_sc0Vu,author_top_stripe-openapi,author_top_ttodua,author_top_xavdid-stripe,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
1,0.0,6,97,23,3,456,0,0,6,97,23,3,0,0,0,3,0,0,0,0,0,22.77083333333333,2026,1,3,19,0,0,22.770833333333332,9,120,40.0,74,4.217391304347826,0.187094310805651,0.0,1.0,0.008333333333333333,0.3333333333333333,0.16666666666666666,0,35,4,1,0,0,3.8,1.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,1,2,1,15,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,5.980277777777777,2026,1,2,23,0,0,5.980277777777777,10,3,3.0,-1,0.5,0.0046773577701412754,0.0,1.0,0.3333333333333333,1.0,1.0,0,19,4,0,1,0,5.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,401,331,1,30,0,0,1,401,331,1,0,0,0,0,0,0,0,0,0,1.9777777777777776,2026,1,3,3,0,0,1.9777777777777779,10,732,732.0,70,1.2114803625377644,1.1412752959144712,0.0,1.0,0.001366120218579235,1.0,1.0,0,29,4,0,0,0,0.040983606557377046,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,1,1,1,7191,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.8461111111111111,2026,1,2,19,0,0,0.8461111111111111,10,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,45,7,0,0,0,3595.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,1,1,1,3086,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.255,2026,1,2,16,0,1,3.255,10,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,44,7,0,0,0,1543.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,1,1,1,6802,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7019444444444445,2026,1,2,16,0,1,2.7019444444444445,10,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,44,7,0,0,0,3401.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0.0,2,4,0,1,1432,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,58.68666666666667,2026,1,5,22,1,0,58.68666666666667,14,4,4.0,4,4.0,0.006236477026855034,0.0,2.0,0.5,2.0,1.0,0,43,7,0,0,0,358.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,7,107,72,12,54,0,0,7,107,72,12,0,0,0,0,0,0,0,0,0,5.325,2026,1,1,3,0,0,5.325,12,179,14.916666666666666,35,1.4861111111111112,0.27908234695176276,0.0,1.0,0.00558659217877095,0.08333333333333333,0.14285714285714285,0,23,3,0,0,0,0.3016759776536313,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,1,1,1,2077,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,6.591388888888889,2026,1,1,0,0,0,6.591388888888889,12,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,47,7,0,0,0,1038.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,1,1,1,4679,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.941666666666667,2026,1,0,3,0,0,3.941666666666667,13,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,47,7,0,0,0,2339.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,1,1,1,5171,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.69,2026,1,0,3,0,0,3.69,13,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,44,7,0,0,0,2585.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,1,1,1,7035,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.678333333333333,2026,1,0,3,0,0,3.6783333333333332,13,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,49,7,0,0,0,3517.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0.0,6,80,4,4,65,0,0,6,80,4,4,0,0,0,4,0,0,0,0,0,845.1216666666667,2025,11,5,6,1,0,845.1216666666667,49,84,21.0,76,20.0,0.1309660175639557,0.0,4.0,0.047619047619047616,1.0,0.6666666666666666,0,31,6,1,0,0,0.7738095238095238,1.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0.0,28,1497,10,6,748,0,0,28,1497,10,6,0,0,0,4,0,0,2,0,0,-1.0,2026,1,5,8,1,0,1.0366666666666666,14,1507,251.16666666666666,1487,149.7,2.349592719867634,0.0,4.0,0.0026542800265428003,0.6666666666666666,0.14285714285714285,0,26,4,1,0,0,0.49635036496350365,0.6666666666666666,0.0,0.0,0.3333333333333333,2,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0.0,1,1038,0,7,843,0,0,1,1038,0,7,0,0,0,0,0,0,0,0,0,-1.0,2026,1,4,17,0,1,16.75777777777778,15,1038,148.28571428571428,1038,1038.0,1.6183657884688811,0.0,3.0,0.002890173410404624,0.42857142857142855,3.0,0,23,3,0,0,0,0.8121387283236994,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0.0,7,29,9,7,586,0,0,7,29,9,7,0,0,0,7,0,0,0,0,0,1251.8697222222222,2025,11,1,9,0,1,1251.8697222222222,67,38,5.428571428571429,20,3.2222222222222223,0.05924653175512282,0.0,8.0,0.21052631578947367,1.1428571428571428,1.1428571428571428,0,43,7,1,1,0,15.421052631578947,1.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.0,2,2,158,3,428,0,0,2,2,158,3,0,0,0,3,0,0,0,0,0,1.3794444444444445,2026,1,4,7,0,0,1.3794444444444445,15,160,53.333333333333336,-156,0.012658227848101266,0.24945908107420134,0.0,1.0,0.00625,0.3333333333333333,0.5,0,44,6,0,0,0,2.675,1.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,774,237,1,30,0,0,1,774,237,1,0,0,0,0,0,0,0,0,0,2.656944444444445,2026,1,3,3,0,0,2.6569444444444446,17,1011,1011.0,537,3.2658227848101267,1.5762695685376098,0.0,1.0,0.0009891196834817012,1.0,1.0,0,29,4,0,0,0,0.02967359050445104,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,16.0,37,643,40,7,2947,0,0,37,643,40,7,0,0,0,6,0,0,1,0,0,661.8744444444444,2025,12,2,6,0,0,661.8747222222222,45,683,97.57142857142857,603,16.075,1.064878452335497,0.0,23.0,0.03367496339677892,3.2857142857142856,0.6216216216216216,1,24,3,0,0,0,4.314787701317716,0.8571428571428571,0.0,0.0,0.14285714285714285,2,0,0,0.0,0.0,0,1,0.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0,293,5892,6002,104,15193,0,0,293,5892,6002,104,0,0,0,7,0,0,10,0,0,18.775,2025,12,0,12,0,1,18.775,19,11894,114.36538461538461,-110,0.9816727757414195,18.54416443935344,0.0,1.0,8.407600470825626e-05,0.009615384615384616,0.0034129692832764505,0,19,3,0,0,0,1.2773667395325374,0.4117647058823529,0.0,0.0,0.5882352941176471,2,0,0,0.0,0.0,0,2,1.82,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0,1,1,1,1,8149,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.2741666666666666,2025,12,0,15,0,1,0.27416666666666667,19,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,44,7,0,0,0,4074.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0,1,1,1,1,552,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,18.676111111111112,2025,12,6,19,1,0,18.676111111111112,20,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,44,7,0,0,0,276.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0,2,2,2,2,6058,0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,7.971388888888889,2025,12,0,3,0,0,7.971388888888889,20,4,2.0,0,1.0,0.006236477026855034,0.0,1.0,0.25,0.5,0.5,0,48,7,0,0,0,1514.5,1.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0,1,1,1,1,8736,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,7.563055555555556,2025,12,0,3,0,0,7.563055555555556,20,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,43,7,0,0,0,4368.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0,1,1,1,1,6800,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.725277777777778,2025,12,0,3,0,0,3.725277777777778,20,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,47,7,0,0,0,3400.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
